participant_id,activity_date,activity_type,topic,municipality,gender,age_group,role,decision_making_role,event_speaker,coordination_role,responsibility_level,leadership_role,leadership_flag,decision_making_flag,speaker_flag,coordination_flag,year,month,month_name
20,2025-01-01,Media Activity,Gender Equality,Kamensk-Uralsky,Male,55+,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
28,2025-01-01,Government Interaction,Gender Equality,Kamensk-Uralsky,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1313,2025-01-01,Campaign Activity,Local Government,Yekaterinburg,Male,45-54,Coordinator,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
1438,2025-01-01,Meeting,Social Policy,Revda,Male,25-34,Speaker,No,Yes,No,Visible,No,0,0,1,0,2025,1,Jan
1761,2025-01-01,Community Outreach,Gender Equality,Yekaterinburg,Female,18-24,Coordinator,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
2290,2025-01-01,Meeting,Entrepreneurship,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2300,2025-01-01,Meeting,Housing,Pervouralsk,Male,35-44,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
3335,2025-01-01,Community Outreach,Entrepreneurship,Yekaterinburg,Female,25-34,Organizer,No,Yes,Yes,Leadership,Yes,1,0,1,1,2025,1,Jan
3431,2025-01-01,Meeting,Social Policy,Yekaterinburg,Male,55+,Coordinator,No,Yes,Yes,Leadership,Yes,1,0,1,1,2025,1,Jan
1166,2025-01-02,Public Event,Youth Policy,Revda,Male,35-44,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1549,2025-01-02,Educational Event,Education,Yekaterinburg,Female,35-44,Volunteer,Yes,No,No,Basic,No,0,1,0,0,2025,1,Jan
1816,2025-01-02,Campaign Activity,Entrepreneurship,Yekaterinburg,Male,35-44,Participant,No,Yes,No,Basic,No,0,0,1,0,2025,1,Jan
1911,2025-01-02,Meeting,Local Government,Nizhny Tagil,Female,55+,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2134,2025-01-02,Educational Event,Social Policy,Asbest,Male,35-44,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2663,2025-01-02,Meeting,Economic Policy,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2718,2025-01-02,Government Interaction,Education,Nizhny Tagil,Male,18-24,Coordinator,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
3368,2025-01-02,Meeting,Housing,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
3582,2025-01-02,Campaign Activity,Entrepreneurship,Yekaterinburg,Male,35-44,Organizer,No,Yes,Yes,Leadership,Yes,1,0,1,1,2025,1,Jan
1915,2025-01-03,Meeting,Gender Equality,Revda,Female,35-44,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2229,2025-01-03,Community Outreach,Social Policy,Nizhny Tagil,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2394,2025-01-03,Educational Event,Youth Policy,Yekaterinburg,Female,25-34,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2615,2025-01-03,Public Event,Gender Equality,Serov,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2767,2025-01-03,Campaign Activity,Local Government,Pervouralsk,Female,45-54,Coordinator,Yes,No,Yes,Leadership,Yes,1,1,0,1,2025,1,Jan
