participant_id,activity_date,activity_type,topic,municipality,gender,age_group,role,decision_making_role,event_speaker,coordination_role,responsibility_level,leadership_role
20,2025-01-01,Media Activity,Gender Equality,Kamensk-Uralsky,Male,55+,Volunteer,No,No,No,Basic,No
28,2025-01-01,Government Interaction,Gender Equality,Kamensk-Uralsky,Female,25-34,Participant,No,No,No,Basic,No
1313,2025-01-01,Campaign Activity,Local Government,Yekaterinburg,Male,45-54,Coordinator,Yes,Yes,Yes,Leadership,Yes
1438,2025-01-01,Meeting,Social Policy,Revda,Male,25-34,Speaker,No,Yes,No,Visible,No
1761,2025-01-01,Community Outreach,Gender Equality,Yekaterinburg,Female,18-24,Coordinator,Yes,Yes,Yes,Leadership,Yes
2290,2025-01-01,Meeting,Entrepreneurship,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
2300,2025-01-01,Meeting,Housing,Pervouralsk,Male,35-44,Participant,No,No,No,Basic,No
3335,2025-01-01,Community Outreach,Entrepreneurship,Yekaterinburg,Female,25-34,Organizer,No,Yes,Yes,Leadership,Yes
3431,2025-01-01,Meeting,Social Policy,Yekaterinburg,Male,55+,Coordinator,No,Yes,Yes,Leadership,Yes
1166,2025-01-02,Public Event,Youth Policy,Revda,Male,35-44,Volunteer,No,No,No,Basic,No
1549,2025-01-02,Educational Event,Education,Yekaterinburg,Female,35-44,Volunteer,Yes,No,No,Basic,No
1816,2025-01-02,Campaign Activity,Entrepreneurship,Yekaterinburg,Male,35-44,Participant,No,Yes,No,Basic,No
1911,2025-01-02,Meeting,Local Government,Nizhny Tagil,Female,55+,Participant,No,No,No,Basic,No
2134,2025-01-02,Educational Event,Social Policy,Asbest,Male,35-44,Participant,No,No,No,Basic,No
2663,2025-01-02,Meeting,Economic Policy,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
2718,2025-01-02,Government Interaction,Education,Nizhny Tagil,Male,18-24,Coordinator,Yes,Yes,Yes,Leadership,Yes
3368,2025-01-02,Meeting,Housing,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
3582,2025-01-02,Campaign Activity,Entrepreneurship,Yekaterinburg,Male,35-44,Organizer,No,Yes,Yes,Leadership,Yes
1915,2025-01-03,Meeting,Gender Equality,Revda,Female,35-44,Participant,No,No,No,Basic,No
2229,2025-01-03,Community Outreach,Social Policy,Nizhny Tagil,Female,25-34,Participant,No,No,No,Basic,No
2394,2025-01-03,Educational Event,Youth Policy,Yekaterinburg,Female,25-34,Volunteer,No,No,No,Basic,No
2615,2025-01-03,Public Event,Gender Equality,Serov,Female,25-34,Participant,No,No,No,Basic,No
2767,2025-01-03,Campaign Activity,Local Government,Pervouralsk,Female,45-54,Coordinator,Yes,No,Yes,Leadership,Yes
3439,2025-01-03,Educational Event,Social Policy,Yekaterinburg,Female,25-34,Participant,No,Yes,No,Basic,No
850,2025-01-04,Meeting,Economic Policy,Yekaterinburg,Male,18-24,Participant,No,No,No,Basic,No
1175,2025-01-04,Meeting,Social Policy,Yekaterinburg,Male,45-54,Organizer,Yes,Yes,Yes,Leadership,Yes
1250,2025-01-04,Survey,Social Policy,Revda,Male,25-34,Participant,No,No,No,Basic,No
2105,2025-01-04,Community Outreach,Entrepreneurship,Serov,Male,25-34,Coordinator,Yes,Yes,Yes,Leadership,Yes
2168,2025-01-04,Community Outreach,Youth Policy,Serov,Female,25-34,Participant,No,Yes,No,Basic,No
2426,2025-01-04,Educational Event,Gender Equality,Nizhny Tagil,Male,35-44,Speaker,No,Yes,No,Visible,No
2763,2025-01-04,Community Outreach,Healthcare,Yekaterinburg,Female,35-44,Participant,No,No,No,Basic,No
2982,2025-01-04,Community Outreach,Youth Policy,Yekaterinburg,Female,25-34,Speaker,No,Yes,No,Visible,No
3059,2025-01-04,Survey,Social Policy,Yekaterinburg,Female,35-44,Speaker,No,Yes,No,Visible,No
3233,2025-01-04,Public Event,Youth Policy,Yekaterinburg,Male,55+,Participant,No,No,No,Basic,No
3379,2025-01-04,Survey,Youth Policy,Kamensk-Uralsky,Female,18-24,Participant,No,No,No,Basic,No
3412,2025-01-04,Media Activity,Education,Kamensk-Uralsky,Female,25-34,Coordinator,Yes,No,Yes,Leadership,Yes
1923,2025-01-05,Campaign Activity,Youth Policy,Nizhny Tagil,Male,25-34,Organizer,No,Yes,Yes,Leadership,Yes
2636,2025-01-05,Meeting,Healthcare,Yekaterinburg,Female,55+,Speaker,No,Yes,No,Visible,No
3326,2025-01-05,Meeting,Entrepreneurship,Yekaterinburg,Male,45-54,Coordinator,No,No,Yes,Leadership,Yes
288,2025-01-06,Educational Event,Housing,Yekaterinburg,Female,25-34,Coordinator,Yes,Yes,Yes,Leadership,Yes
415,2025-01-06,Community Outreach,Transport,Serov,Female,25-34,Participant,No,No,No,Basic,No
1404,2025-01-06,Meeting,Gender Equality,Pervouralsk,Female,25-34,Volunteer,No,No,No,Basic,No
2080,2025-01-06,Campaign Activity,Local Government,Nizhny Tagil,Female,35-44,Participant,No,No,No,Basic,No
2142,2025-01-06,Community Outreach,Economic Policy,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
2190,2025-01-06,Campaign Activity,Gender Equality,Yekaterinburg,Male,35-44,Volunteer,Yes,No,No,Basic,No
2221,2025-01-06,Government Interaction,Entrepreneurship,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No
2756,2025-01-06,Community Outreach,Education,Nizhny Tagil,Male,25-34,Participant,Yes,No,No,Basic,No
3257,2025-01-06,Public Event,Youth Policy,Nizhny Tagil,Female,45-54,Participant,No,No,No,Basic,No
3486,2025-01-06,Survey,Housing,Pervouralsk,Male,35-44,Speaker,Yes,Yes,No,Visible,No
969,2025-01-07,Community Outreach,Transport,Yekaterinburg,Male,25-34,Volunteer,No,No,No,Basic,No
1167,2025-01-07,Government Interaction,Social Policy,Revda,Male,35-44,Organizer,Yes,Yes,Yes,Leadership,Yes
1375,2025-01-07,Community Outreach,Local Government,Nizhny Tagil,Male,18-24,Volunteer,Yes,No,Yes,Basic,No
1538,2025-01-07,Meeting,Housing,Kamensk-Uralsky,Male,55+,Participant,No,No,No,Basic,No
1653,2025-01-07,Public Event,Transport,Kamensk-Uralsky,Female,35-44,Volunteer,Yes,No,No,Basic,No
1871,2025-01-07,Community Outreach,Housing,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
1999,2025-01-07,Community Outreach,Social Policy,Yekaterinburg,Male,35-44,Coordinator,Yes,Yes,Yes,Leadership,Yes
2897,2025-01-07,Campaign Activity,Economic Policy,Yekaterinburg,Male,35-44,Volunteer,No,No,No,Basic,No
88,2025-01-08,Media Activity,Entrepreneurship,Kamensk-Uralsky,Female,25-34,Organizer,Yes,No,Yes,Leadership,Yes
373,2025-01-08,Community Outreach,Economic Policy,Nizhny Tagil,Female,45-54,Analyst,No,No,No,Professional,No
720,2025-01-08,Campaign Activity,Entrepreneurship,Yekaterinburg,Male,18-24,Participant,No,No,No,Basic,No
723,2025-01-08,Community Outreach,Housing,Yekaterinburg,Female,45-54,Coordinator,No,No,Yes,Leadership,Yes
766,2025-01-08,Meeting,Healthcare,Yekaterinburg,Female,25-34,Volunteer,No,No,No,Basic,No
1256,2025-01-08,Media Activity,Healthcare,Yekaterinburg,Male,35-44,Participant,Yes,No,No,Basic,No
1652,2025-01-08,Meeting,Economic Policy,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
359,2025-01-09,Meeting,Economic Policy,Pervouralsk,Male,55+,Participant,No,No,No,Basic,No
862,2025-01-09,Campaign Activity,Youth Policy,Yekaterinburg,Male,25-34,Participant,Yes,No,No,Basic,No
1361,2025-01-09,Meeting,Healthcare,Kamensk-Uralsky,Male,55+,Organizer,No,Yes,Yes,Leadership,Yes
1519,2025-01-09,Meeting,Local Government,Pervouralsk,Female,35-44,Analyst,No,No,No,Professional,No
2169,2025-01-09,Campaign Activity,Youth Policy,Nizhny Tagil,Female,25-34,Volunteer,No,No,No,Basic,No
2335,2025-01-09,Public Event,Local Government,Yekaterinburg,Female,45-54,Participant,No,No,No,Basic,No
2359,2025-01-09,Government Interaction,Local Government,Yekaterinburg,Male,45-54,Participant,No,No,No,Basic,No
339,2025-01-10,Community Outreach,Social Policy,Yekaterinburg,Female,45-54,Coordinator,Yes,Yes,Yes,Leadership,Yes
1359,2025-01-10,Campaign Activity,Youth Policy,Nizhny Tagil,Male,45-54,Coordinator,Yes,Yes,Yes,Leadership,Yes
1700,2025-01-10,Meeting,Gender Equality,Serov,Male,35-44,Speaker,No,Yes,No,Visible,No
1738,2025-01-10,Government Interaction,Healthcare,Yekaterinburg,Female,45-54,Analyst,No,No,No,Professional,No
2504,2025-01-10,Educational Event,Housing,Pervouralsk,Male,18-24,Analyst,No,No,No,Professional,No
2751,2025-01-10,Survey,Education,Serov,Female,18-24,Volunteer,No,No,No,Basic,No
3008,2025-01-10,Public Event,Local Government,Revda,Female,35-44,Analyst,No,No,No,Professional,No
302,2025-01-11,Educational Event,Housing,Yekaterinburg,Female,35-44,Participant,No,No,No,Basic,No
557,2025-01-11,Educational Event,Local Government,Yekaterinburg,Female,25-34,Volunteer,Yes,No,No,Basic,No
866,2025-01-11,Meeting,Entrepreneurship,Yekaterinburg,Male,18-24,Participant,No,No,No,Basic,No
1592,2025-01-11,Government Interaction,Local Government,Kamensk-Uralsky,Female,45-54,Analyst,No,No,No,Professional,No
1746,2025-01-11,Meeting,Education,Yekaterinburg,Male,25-34,Speaker,Yes,Yes,No,Visible,No
2193,2025-01-11,Meeting,Entrepreneurship,Pervouralsk,Male,45-54,Speaker,Yes,Yes,No,Visible,No
2242,2025-01-11,Campaign Activity,Housing,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
2984,2025-01-11,Meeting,Local Government,Yekaterinburg,Male,18-24,Volunteer,No,Yes,Yes,Basic,No
3274,2025-01-11,Campaign Activity,Gender Equality,Yekaterinburg,Male,35-44,Participant,No,No,No,Basic,No
3303,2025-01-11,Government Interaction,Healthcare,Serov,Female,45-54,Volunteer,No,No,No,Basic,No
460,2025-01-12,Survey,Social Policy,Asbest,Male,35-44,Volunteer,No,Yes,No,Basic,No
823,2025-01-12,Community Outreach,Housing,Yekaterinburg,Female,55+,Coordinator,No,Yes,Yes,Leadership,Yes
1632,2025-01-12,Media Activity,Education,Yekaterinburg,Male,25-34,Analyst,No,No,No,Professional,No
2336,2025-01-12,Community Outreach,Transport,Yekaterinburg,Male,18-24,Speaker,No,Yes,Yes,Visible,No
2456,2025-01-12,Meeting,Education,Yekaterinburg,Male,45-54,Coordinator,Yes,No,Yes,Leadership,Yes
389,2025-01-13,Media Activity,Entrepreneurship,Yekaterinburg,Female,35-44,Coordinator,Yes,No,Yes,Leadership,Yes
860,2025-01-13,Educational Event,Entrepreneurship,Yekaterinburg,Male,25-34,Organizer,Yes,Yes,Yes,Leadership,Yes
2055,2025-01-13,Public Event,Healthcare,Yekaterinburg,Female,18-24,Coordinator,Yes,Yes,Yes,Leadership,Yes
2448,2025-01-13,Meeting,Social Policy,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
3001,2025-01-13,Meeting,Economic Policy,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
1318,2025-01-14,Government Interaction,Entrepreneurship,Yekaterinburg,Female,35-44,Participant,No,No,No,Basic,No
3467,2025-01-14,Government Interaction,Youth Policy,Yekaterinburg,Male,18-24,Coordinator,Yes,No,Yes,Leadership,Yes
473,2025-01-15,Campaign Activity,Social Policy,Yekaterinburg,Female,35-44,Coordinator,No,Yes,Yes,Leadership,Yes
